close,high,low,open,volume,datetime
6200.76,6204.43,6161.08,6162.37,1180116.96,2020-03-20 00:00:00
6212.3,6215.28,6189.57,6200.76,977116.37,2020-03-20 00:01:00
6221.83,6226.46,6206.48,6212.3,902222.95,2020-03-20 00:02:00
6224.95,6236.27,6218.44,6221.83,1196229.21,2020-03-20 00:03:00
6235.28,6236.27,6224.31,6224.95,499786.83,2020-03-20 00:04:00
6253.08,6269.24,6235.28,6235.28,1847002.12,2020-03-20 00:05:00
6248.0,6260.02,6237.59,6253.08,1047070.03,2020-03-20 00:06:00
6230.24,6248.0,6220.03,6248.0,657478.51,2020-03-20 00:07:00
6240.85,6248.71,6224.98,6230.24,483576.05,2020-03-20 00:08:00
6243.35,6247.0,6233.45,6240.85,344721.51,2020-03-20 00:09:00
6214.33,6243.35,6214.12,6243.35,799299.09,2020-03-20 00:10:00
6214.95,6226.02,6212.0,6214.33,587457.65,2020-03-20 00:11:00
6215.3,6222.02,6210.0,6214.95,473300.5,2020-03-20 00:12:00
6223.08,6224.82,6215.3,6215.3,243130.79,2020-03-20 00:13:00
6232.76,6238.23,6215.0,6223.08,461469.0,2020-03-20 00:14:00
6227.63,6233.26,6221.0,6232.76,478347.59,2020-03-20 00:15:00
6227.93,6232.78,6223.39,6227.63,400564.5,2020-03-20 00:16:00
6235.32,6238.59,6223.5,6227.93,494654.96,2020-03-20 00:17:00
6245.73,6250.77,6232.28,6235.32,462024.73,2020-03-20 00:18:00
6261.91,6266.0,6243.57,6245.73,641287.0,2020-03-20 00:19:00
6249.03,6265.67,6244.0,6261.91,454183.83,2020-03-20 00:20:00
6253.93,6258.48,6244.1,6249.03,548513.33,2020-03-20 00:21:00
6244.6,6254.99,6244.55,6253.93,325724.1,2020-03-20 00:22:00
6239.0,6247.33,6236.31,6244.6,358776.36,2020-03-20 00:23:00
6242.32,6245.51,6238.09,6239.0,267665.24,2020-03-20 00:24:00
6247.09,6251.19,6239.72,6242.32,360654.94,2020-03-20 00:25:00
6235.53,6247.12,6231.02,6247.09,281014.25,2020-03-20 00:26:00
6223.37,6238.33,6220.0,6235.53,472234.56,2020-03-20 00:27:00
6214.55,6229.22,6202.18,6223.37,447310.19,2020-03-20 00:28:00
6207.98,6220.58,6200.0,6214.55,590451.18,2020-03-20 00:29:00
6192.79,6209.4,6185.26,6207.98,754463.81,2020-03-20 00:30:00
6203.05,6206.16,6189.48,6192.79,213517.5,2020-03-20 00:31:00
6202.0,6205.74,6192.18,6203.05,271389.44,2020-03-20 00:32:00
6213.91,6215.0,6200.09,6202.0,250978.15,2020-03-20 00:33:00
6216.11,6220.0,6208.65,6213.91,253584.12,2020-03-20 00:34:00
6208.83,6218.18,6207.72,6216.11,139663.58,2020-03-20 00:35:00
6201.4,6209.84,6200.93,6208.83,138023.27,2020-03-20 00:36:00
6190.02,6203.12,6187.37,6201.4,419341.45,2020-03-20 00:37:00
6192.07,6195.35,6183.0,6190.02,529082.2,2020-03-20 00:38:00
6199.94,6199.94,6183.0,6192.07,433030.04,2020-03-20 00:39:00
6194.97,6199.94,6190.01,6199.94,277518.42,2020-03-20 00:40:00
6198.87,6200.0,6194.88,6194.97,264953.33,2020-03-20 00:41:00
6199.88,6200.0,6195.04,6198.87,280846.91,2020-03-20 00:42:00
6190.91,6204.92,6186.77,6199.88,509559.66,2020-03-20 00:43:00
6194.01,6201.44,6190.38,6190.91,432178.68,2020-03-20 00:44:00
6182.65,6194.75,6182.0,6194.01,551318.52,2020-03-20 00:45:00
6181.06,6186.3,6178.19,6182.65,296002.1,2020-03-20 00:46:00
6178.24,6189.0,6177.0,6181.06,408872.72,2020-03-20 00:47:00
6177.7,6183.0,6176.21,6178.24,195289.55,2020-03-20 00:48:00
6181.02,6182.16,6174.0,6177.7,260008.47,2020-03-20 00:49:00
6188.91,6189.47,6176.05,6181.02,347811.88,2020-03-20 00:50:00
6192.36,6195.76,6188.86,6188.91,131215.3,2020-03-20 00:51:00
6195.03,6200.0,6192.36,6192.36,252245.94,2020-03-20 00:52:00
6202.39,6205.01,6191.03,6195.03,321164.06,2020-03-20 00:53:00
6195.92,6202.41,6195.0,6202.39,220526.51,2020-03-20 00:54:00
6202.71,6205.2,6195.86,6195.92,222627.73,2020-03-20 00:55:00
6195.03,6202.99,6195.01,6202.71,242468.96,2020-03-20 00:56:00
6209.41,6220.86,6195.03,6195.03,747883.37,2020-03-20 00:57:00
6216.77,6220.0,6200.0,6209.41,403833.84,2020-03-20 00:58:00
6219.15,6221.49,6207.68,6216.77,447238.94,2020-03-20 00:59:00
6213.54,6222.24,6212.39,6219.15,261873.07,2020-03-20 01:00:00
6214.03,6219.84,6211.05,6213.54,399982.47,2020-03-20 01:01:00
6226.81,6233.25,6214.03,6214.03,517500.03,2020-03-20 01:02:00
6227.37,6229.2,6225.3,6226.81,222967.36,2020-03-20 01:03:00
6217.44,6228.97,6214.12,6227.37,297795.73,2020-03-20 01:04:00
6221.99,6222.0,6215.92,6217.44,233517.24,2020-03-20 01:05:00
6215.0,6222.0,6214.99,6221.99,220007.8,2020-03-20 01:06:00
6206.51,6215.79,6204.28,6215.0,237847.1,2020-03-20 01:07:00
6208.0,6211.61,6200.0,6206.51,354479.27,2020-03-20 01:08:00
6199.51,6208.73,6197.8,6208.0,376047.9,2020-03-20 01:09:00
6197.74,6202.55,6194.0,6199.51,167468.41,2020-03-20 01:10:00
6197.48,6202.0,6191.85,6197.74,124401.08,2020-03-20 01:11:00
6210.28,6219.0,6191.35,6197.48,578017.72,2020-03-20 01:12:00
6202.93,6211.87,6200.07,6210.28,352622.27,2020-03-20 01:13:00
6213.17,6219.19,6199.21,6202.93,420767.57,2020-03-20 01:14:00
6207.08,6216.55,6200.41,6213.17,518708.4,2020-03-20 01:15:00
6204.74,6211.59,6201.41,6207.08,348252.9,2020-03-20 01:16:00
6197.25,6205.82,6193.32,6204.74,371102.08,2020-03-20 01:17:00
6190.59,6199.76,6190.0,6197.25,232777.93,2020-03-20 01:18:00
6190.0,6195.0,6181.54,6190.59,453703.52,2020-03-20 01:19:00
6184.44,6194.99,6183.4,6190.0,130750.44,2020-03-20 01:20:00
6191.26,6193.16,6183.87,6184.44,145674.99,2020-03-20 01:21:00
6181.5,6194.11,6180.38,6191.26,210979.75,2020-03-20 01:22:00
6183.68,6191.02,6179.21,6181.5,333829.75,2020-03-20 01:23:00
6178.59,6183.96,6177.3,6183.68,171666.75,2020-03-20 01:24:00
6172.21,6182.12,6166.52,6178.59,487696.17,2020-03-20 01:25:00
6164.52,6172.27,6160.0,6172.21,305820.6,2020-03-20 01:26:00
6168.19,6169.93,6163.29,6164.52,304825.58,2020-03-20 01:27:00
6148.69,6168.19,6148.16,6168.19,547933.54,2020-03-20 01:28:00
6121.3,6155.17,6121.3,6148.69,1218857.65,2020-03-20 01:29:00
6068.14,6122.9,6055.55,6121.3,6012568.26,2020-03-20 01:30:00
6094.74,6107.93,6065.34,6068.14,1871693.87,2020-03-20 01:31:00
6112.05,6117.23,6082.98,6094.74,1434808.04,2020-03-20 01:32:00
6136.08,6140.74,6110.43,6112.05,1062183.22,2020-03-20 01:33:00
6112.49,6136.11,6112.49,6136.08,589020.76,2020-03-20 01:34:00
6117.94,6132.48,6111.04,6112.49,428881.27,2020-03-20 01:35:00
6122.81,6130.98,6116.48,6117.94,419109.37,2020-03-20 01:36:00
6133.83,6143.74,6121.01,6122.81,599867.59,2020-03-20 01:37:00
6126.16,6135.38,6123.63,6133.83,411543.46,2020-03-20 01:38:00
6137.19,6140.58,6126.16,6126.16,324181.38,2020-03-20 01:39:00
6113.71,6137.19,6110.79,6137.19,395055.43,2020-03-20 01:40:00
6125.11,6131.2,6108.49,6113.71,729118.66,2020-03-20 01:41:00
6120.0,6129.52,6117.6,6125.11,424978.91,2020-03-20 01:42:00
6118.2,6128.0,6117.96,6120.0,245751.96,2020-03-20 01:43:00
6110.03,6119.92,6107.76,6118.2,213927.41,2020-03-20 01:44:00
6100.01,6111.46,6100.0,6110.03,425335.1,2020-03-20 01:45:00
6111.28,6121.99,6088.0,6100.01,1427519.99,2020-03-20 01:46:00
6124.29,6132.57,6110.35,6111.28,545938.29,2020-03-20 01:47:00
6121.88,6132.99,6114.06,6124.29,874963.45,2020-03-20 01:48:00
6125.92,6128.97,6118.26,6121.88,252494.28,2020-03-20 01:49:00
6151.3,6159.77,6125.92,6125.92,1064178.68,2020-03-20 01:50:00
6150.66,6160.0,6148.65,6151.3,601449.81,2020-03-20 01:51:00
6163.37,6164.9,6148.0,6150.66,632851.94,2020-03-20 01:52:00
6154.2,6164.76,6154.2,6163.37,350418.8,2020-03-20 01:53:00
6157.77,6160.62,6145.01,6154.2,374518.42,2020-03-20 01:54:00
6157.64,6162.72,6145.49,6157.77,383217.18,2020-03-20 01:55:00
6159.22,6165.12,6148.97,6157.64,286675.46,2020-03-20 01:56:00
6162.51,6164.75,6156.73,6159.22,331592.76,2020-03-20 01:57:00
6165.0,6165.0,6159.0,6162.51,315055.55,2020-03-20 01:58:00
6160.5,6173.46,6158.53,6165.0,380590.11,2020-03-20 01:59:00
6150.17,6160.87,6150.0,6160.5,430093.77,2020-03-20 02:00:00
6154.2,6161.36,6147.74,6150.17,708864.86,2020-03-20 02:01:00
6173.99,6176.16,6151.84,6154.2,332603.86,2020-03-20 02:02:00
6174.41,6183.69,6170.52,6173.99,564940.91,2020-03-20 02:03:00
6165.81,6182.08,6161.31,6174.41,520524.35,2020-03-20 02:04:00
6175.35,6181.83,6165.17,6165.81,425625.19,2020-03-20 02:05:00
6171.0,6179.99,6170.0,6175.35,220920.55,2020-03-20 02:06:00
6162.0,6171.05,6161.0,6171.0,281010.78,2020-03-20 02:07:00
